hour,count
2023-06-28 17:00:00,2571
2023-06-28 18:00:00,3903
2023-06-28 19:00:00,4059
2023-06-28 20:00:00,3333
2023-06-28 21:00:00,3483
2023-06-28 22:00:00,4287
2023-06-28 23:00:00,3594
2023-06-29 00:00:00,4092
2023-06-29 01:00:00,4101
2023-06-29 02:00:00,4101
2023-06-29 03:00:00,4107
2023-06-29 04:00:00,3276
2023-06-29 05:00:00,3975
2023-06-29 06:00:00,3930
2023-06-29 07:00:00,3786
2023-06-29 08:00:00,3855
2023-06-29 09:00:00,3870
2023-06-29 10:00:00,3999
2023-06-29 11:00:00,3543
2023-06-29 12:00:00,3888
2023-06-29 13:00:00,3432
2023-06-29 14:00:00,4134
2023-06-29 15:00:00,3258
2023-06-29 16:00:00,3612
2023-06-29 17:00:00,3621
2023-06-29 18:00:00,3219
2023-06-29 19:00:00,3675
2023-06-29 20:00:00,3967
2023-06-29 21:00:00,3983
2023-06-29 22:00:00,3666
2023-06-29 23:00:00,3813
2023-06-30 00:00:00,2913
2023-06-30 01:00:00,3858
2023-06-30 02:00:00,3726
2023-06-30 03:00:00,3486
2023-06-30 04:00:00,3891
2023-06-30 05:00:00,4050
2023-06-30 06:00:00,3414
2023-06-30 07:00:00,3873
2023-06-30 08:00:00,3519
2023-06-30 09:00:00,3540
2023-06-30 10:00:00,3993
2023-06-30 11:00:00,3828
2023-06-30 12:00:00,3741
2023-06-30 13:00:00,3831
2023-06-30 14:00:00,3954
2023-06-30 15:00:00,3387
2023-06-30 16:00:00,4086
2023-06-30 17:00:00,3480
2023-06-30 18:00:00,3570
2023-06-30 19:00:00,3582
2023-06-30 20:00:00,3510
2023-06-30 21:00:00,3201
2023-06-30 22:00:00,3627
2023-06-30 23:00:00,3390
2023-07-01 00:00:00,4035
2023-07-01 01:00:00,3069
2023-07-01 02:00:00,3720
2023-07-01 03:00:00,3636
2023-07-01 04:00:00,3768
2023-07-01 05:00:00,3315
2023-07-01 06:00:00,3540
2023-07-01 07:00:00,3510
2023-07-01 08:00:00,3156
2023-07-01 09:00:00,3564
2023-07-01 10:00:00,3762
2023-07-01 11:00:00,3501
2023-07-01 12:00:00,3567
2023-07-01 13:00:00,3150
2023-07-01 14:00:00,3321
2023-07-01 15:00:00,3417
2023-07-01 16:00:00,2856
2023-07-01 17:00:00,2757
2023-07-01 18:00:00,3117
2023-07-01 19:00:00,2919
2023-07-01 20:00:00,3720
2023-07-01 21:00:00,3717
2023-07-01 22:00:00,3456
2023-07-01 23:00:00,3120
2023-07-02 00:00:00,3360
2023-07-02 01:00:00,3537
2023-07-02 02:00:00,3618
2023-07-02 03:00:00,3498
2023-07-02 04:00:00,3741
2023-07-02 05:00:00,3198
2023-07-02 06:00:00,3264
2023-07-02 07:00:00,3681
2023-07-02 08:00:00,3576
2023-07-02 09:00:00,3060
2023-07-02 10:00:00,3399
2023-07-02 11:00:00,3576
2023-07-02 12:00:00,3483
2023-07-02 13:00:00,3381
2023-07-02 14:00:00,3153
2023-07-02 15:00:00,3432
2023-07-02 16:00:00,3357
2023-07-02 17:00:00,3108
2023-07-02 18:00:00,3219
2023-07-02 19:00:00,2676
2023-07-02 20:00:00,2919
2023-07-02 21:00:00,2637
2023-07-02 22:00:00,3531
2023-07-02 23:00:00,3402
2023-07-03 00:00:00,3366
2023-07-03 01:00:00,3000
2023-07-03 02:00:00,2667
2023-07-03 03:00:00,3117
2023-07-03 04:00:00,2436
2023-07-03 05:00:00,2615
2023-07-03 06:00:00,3631
2023-07-03 07:00:00,2970
2023-07-03 08:00:00,3210
2023-07-03 09:00:00,3525
2023-07-03 10:00:00,3129
2023-07-03 11:00:00,3474
2023-07-03 12:00:00,2685
2023-07-03 13:00:00,3417
2023-07-03 14:00:00,2928
2023-07-03 15:00:00,2970
2023-07-03 16:00:00,3372
2023-07-03 17:00:00,2265
2023-07-03 18:00:00,3087
2023-07-03 19:00:00,2901
2023-07-03 20:00:00,3084
2023-07-03 21:00:00,2841
2023-07-03 22:00:00,2727
2023-07-03 23:00:00,3354
2023-07-04 00:00:00,3345
2023-07-04 01:00:00,3285
2023-07-04 02:00:00,2127
2023-07-04 03:00:00,3180
2023-07-04 04:00:00,3105
2023-07-04 05:00:00,2670
2023-07-04 06:00:00,2739
2023-07-04 07:00:00,3258
2023-07-04 08:00:00,3411
2023-07-04 09:00:00,3024
2023-07-04 10:00:00,2430
2023-07-04 11:00:00,3138
2023-07-04 12:00:00,2952
2023-07-04 13:00:00,3351
2023-07-04 14:00:00,3306
